City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
0,Port Lincoln,AU,clear sky,68.34,-34.7333,135.8667,Port Lincoln
1,Jamestown,US,clear sky,56.84,42.097,-79.2353,Jamestown
2,Faanui,PF,clear sky,78.1,-16.4833,-151.75,Vaitape
3,Hualmay,PE,few clouds,61.12,-11.0964,-77.6139,Huacho
4,Warragul,AU,overcast clouds,67.95,-38.1667,145.9333,Warragul
5,Rikitea,PF,broken clouds,69.75,-23.1203,-134.9692,Rikitea
9,Mar Del Plata,AR,overcast clouds,57.09,-38.0023,-57.5575,Mar del Plata
11,Qeshm,IR,clear sky,80.47,26.9581,56.2719,Qeshm
12,Sebina,BW,clear sky,66.18,-20.8667,27.25,Sebina
13,Busselton,AU,light rain,55.92,-33.65,115.3333,Busselton
14,Avarua,CK,few clouds,78.85,-21.2078,-159.775,Avarua District
15,Marsh Harbour,BS,broken clouds,79.3,26.5412,-77.0636,Marsh Harbour
